CenterLat,CenterLon,lon_180,Concentration,Sigma
-62.5,277.5,-82.5,NaN,NaN
-62.5,282.5,-77.5,NaN,NaN
-62.5,287.5,-72.5,NaN,NaN
-62.5,292.5,-67.5,NaN,NaN
-62.5,297.5,-62.5,NaN,NaN
-62.5,302.5,-57.5,NaN,NaN
-62.5,307.5,-52.5,NaN,NaN
-62.5,312.5,-47.5,NaN,NaN
-62.5,317.5,-42.5,NaN,NaN
-62.5,322.5,-37.5,NaN,NaN
-62.5,327.5,-32.5,NaN,NaN
-62.5,332.5,-27.5,NaN,NaN
-62.5,337.5,-22.5,NaN,NaN
-62.5,342.5,-17.5,NaN,NaN
-62.5,347.5,-12.5,NaN,NaN
-62.5,352.5,-7.5,NaN,NaN
-62.5,357.5,-2.5,NaN,NaN
-57.5,2.5,2.5,NaN,NaN
-57.5,7.5,7.5,NaN,NaN
-57.5,12.5,12.5,NaN,NaN
-57.5,17.5,17.5,NaN,NaN
-57.5,22.5,22.5,NaN,NaN
-57.5,27.5,27.5,NaN,NaN
-57.5,32.5,32.5,NaN,NaN
-57.5,37.5,37.5,NaN,NaN
-57.5,42.5,42.5,NaN,NaN
-57.5,47.5,47.5,NaN,NaN
-57.5,52.5,52.5,NaN,NaN
-57.5,57.5,57.5,NaN,NaN
-57.5,62.5,62.5,NaN,NaN
-57.5,67.5,67.5,NaN,NaN
-57.5,72.5,72.5,NaN,NaN
-57.5,77.5,77.5,NaN,NaN
-57.5,82.5,82.5,NaN,NaN
-57.5,87.5,87.5,NaN,NaN
-57.5,92.5,92.5,NaN,NaN
-57.5,97.5,97.5,NaN,NaN
-57.5,102.5,102.5,NaN,NaN
-57.5,107.5,107.5,NaN,NaN
-57.5,112.5,112.5,NaN,NaN
-57.5,117.5,117.5,NaN,NaN
-57.5,122.5,122.5,NaN,NaN
-57.5,127.5,127.5,NaN,NaN
-57.5,132.5,132.5,NaN,NaN
-57.5,137.5,137.5,NaN,NaN
-57.5,142.5,142.5,NaN,NaN
-57.5,147.5,147.5,NaN,NaN
-57.5,152.5,152.5,NaN,NaN
-57.5,157.5,157.5,NaN,NaN
-57.5,162.5,162.5,NaN,NaN
-57.5,167.5,167.5,NaN,NaN
-57.5,172.5,172.5,NaN,NaN
-57.5,177.5,177.5,NaN,NaN
-57.5,182.5,-177.5,NaN,NaN
-57.5,187.5,-172.5,NaN,NaN
-57.5,192.5,-167.5,NaN,NaN
-57.5,197.5,-162.5,NaN,NaN
-57.5,202.5,-157.5,NaN,NaN
-57.5,207.5,-152.5,NaN,NaN
-57.5,212.5,-147.5,NaN,NaN
-57.5,217.5,-142.5,NaN,NaN
-57.5,222.5,-137.5,NaN,NaN
-57.5,227.5,-132.5,NaN,NaN
-57.5,232.5,-127.5,NaN,NaN
-57.5,237.5,-122.5,NaN,NaN
-57.5,242.5,-117.5,NaN,NaN
-57.5,247.5,-112.5,NaN,NaN
-57.5,252.5,-107.5,NaN,NaN
-57.5,257.5,-102.5,NaN,NaN
-57.5,262.5,-97.5,NaN,NaN
-57.5,267.5,-92.5,NaN,NaN
-57.5,272.5,-87.5,NaN,NaN
-57.5,277.5,-82.5,NaN,NaN
-57.5,282.5,-77.5,NaN,NaN
-57.5,287.5,-72.5,NaN,NaN
-57.5,292.5,-67.5,NaN,NaN
